timestamp           ,bfly  ,bfnx  ,bnu   ,btrx  ,bse   ,gmni  ,itbi  ,krkn  ,lmax  ,okcn  ,tmp   ,global_vwap
2021-02-24 00:00:00 ,47852 ,47887 ,47939 ,47932 ,47938 ,47865 ,47906 ,47727 ,47904 ,47980 ,47905 ,47904
2021-02-24 01:00:00 ,48944 ,48710 ,48553 ,48646 ,48589 ,48727 ,48860 ,48531 ,48601 ,48594 ,48697 ,48610
2021-02-24 02:00:00 ,49426 ,49292 ,49088 ,49127 ,49091 ,49144 ,49282 ,49082 ,49057 ,49032 ,49213 ,49135
2021-02-24 03:00:00 ,50097 ,49629 ,49426 ,49570 ,49407 ,49454 ,49476 ,49453 ,49369 ,49306 ,49542 ,49464
2021-02-24 04:00:00 ,50295 ,49869 ,49727 ,49845 ,49767 ,49713 ,49811 ,49754 ,49655 ,49662 ,49813 ,49776
2021-02-24 05:00:00 ,50295 ,49954 ,49829 ,49958 ,49879 ,49803 ,49915 ,49847 ,49787 ,49789 ,49907 ,49880
2021-02-24 06:00:00 ,50255 ,49939 ,49860 ,49973 ,49894 ,49814 ,49946 ,49866 ,49818 ,49811 ,49915 ,49890
2021-02-24 07:00:00 ,50234 ,49936 ,49870 ,49976 ,49898 ,49827 ,49948 ,49878 ,49834 ,49839 ,49919 ,49895
2021-02-24 08:00:00 ,50230 ,50021 ,49934 ,50039 ,49952 ,49915 ,49974 ,49946 ,49894 ,49889 ,50002 ,49971
2021-02-24 09:00:00 ,50281 ,50132 ,50016 ,50117 ,50022 ,49981 ,50022 ,50026 ,49981 ,50008 ,50095 ,50062
2021-02-24 10:00:00 ,50295 ,50159 ,50051 ,50155 ,50078 ,50017 ,50049 ,50065 ,50044 ,50033 ,50140 ,50103
2021-02-24 11:00:00 ,50305 ,50175 ,50072 ,50182 ,50110 ,50042 ,50073 ,50099 ,50092 ,50044 ,50166 ,50134
2021-02-24 12:00:00 ,50345 ,50228 ,50104 ,50230 ,50185 ,50108 ,50120 ,50159 ,50171 ,50107 ,50223 ,50203
2021-02-24 13:00:00 ,50294 ,50197 ,50082 ,50199 ,50146 ,50066 ,50081 ,50129 ,50139 ,50084 ,50192 ,50164
2021-02-24 14:00:00 ,50224 ,50152 ,50029 ,50141 ,50092 ,50004 ,50055 ,50057 ,50081 ,50050 ,50126 ,50105
2021-02-24 15:00:00 ,50087 ,50097 ,49982 ,50068 ,50031 ,49962 ,50023 ,50005 ,50044 ,49973 ,50083 ,50052
2021-02-24 16:00:00 ,50074 ,50081 ,49972 ,50045 ,50012 ,49950 ,50008 ,49991 ,50027 ,49964 ,50067 ,50035
2021-02-24 17:00:00 ,50071 ,50069 ,49967 ,50031 ,50002 ,49940 ,50002 ,49980 ,50018 ,49958 ,50058 ,50024
2021-02-24 18:00:00 ,50056 ,50063 ,49963 ,50017 ,49991 ,49929 ,49996 ,49970 ,50009 ,49948 ,50048 ,50013
2021-02-24 19:00:00 ,50026 ,50035 ,49921 ,49981 ,49951 ,49887 ,49967 ,49935 ,49972 ,49908 ,50020 ,49977
2021-02-24 20:00:00 ,49983 ,50001 ,49888 ,49927 ,49892 ,49834 ,49941 ,49883 ,49927 ,49871 ,49974 ,49928
2021-02-24 21:00:00 ,49916 ,49946 ,49851 ,49852 ,49827 ,49774 ,49889 ,49817 ,49852 ,49822 ,49910 ,49864
2021-02-24 22:00:00 ,49838 ,49900 ,49818 ,49800 ,49784 ,49718 ,49862 ,49776 ,49827 ,49781 ,49867 ,49824
2021-02-24 23:00:00 ,49835 ,49885 ,49808 ,49779 ,49771 ,49710 ,49855 ,49757 ,49810 ,49765 ,49850 ,49809
